"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3106,22,2,1982,24,2,1982,5,3,0,0,3,3,16,4,0,1,1,0,0,0,0,3.1
3107,26,11,1980,8,1,1981,5,3,0,0,44,44,7,3,1,1,2,0,0,0,0,3.1
3108,13,11,1980,16,11,1980,5,3,0,0,4,4,16,4,0,1,1,0,0,0,0,3.1
3109,23,11,1980,23,11,1980,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3111,20,11,1980,20,11,1980,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3112,11,8,1980,11,2,1981,5,3,0,0,185,185,14,4,0,1,1,0,0,0,0,3.1
3113,15,7,1980,15,7,1980,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3114,15,6,1980,15,6,1980,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3115,19,5,1980,19,5,1980,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3116,6,5,1980,6,5,1980,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3117,2,6,1980,2,11,1980,4,3,0,0,154,154,7,3,0,1,1,0,0,0,0,3.1
3118,14,3,1980,8,12,1980,5,3,0,0,270,270,11,3,1,1,1,0,0,0,0,3.1
3119,29,2,1980,29,7,1980,5,4,0,0,152,152,16,4,0,1,1,0,0,0,0,3.1
3120,7,2,1980,7,2,1980,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3121,4,2,1980,4,2,1980,4,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3122,21,9,1977,1,10,1977,7,3,0,0,11,11,15,4,0,1,1,0,0,0,0,3.1
3123,1,10,1977,1,10,1977,7,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3124,3,9,1977,4,9,1977,5,3,0,0,2,2,16,4,0,1,1,0,0,0,0,3.1
3125,27,8,1977,1,11,1977,5,3,0,0,67,67,1,2,0,1,1,0,0,0,0,3.1
3126,12,7,1977,10,9,1977,5,3,3,-9,61,61,17,4,1,1,1,0,0,0,0,3.1
3127,6,7,1977,2,11,1977,5,3,1,-9,120,120,17,4,1,1,2,0,0,0,0,3.1
3129,23,6,1977,26,6,1977,5,3,-9,-9,4,4,17,4,1,1,1,0,0,0,0,3.1
3130,27,6,1977,28,6,1977,5,3,0,0,2,2,12,3,0,1,1,0,0,0,0,3.1
3131,11,5,1977,21,12,1979,5,3,-9,-9,955,955,18,4,1,1,2,0,0,0,0,3.1
3132,5,8,1907,20,8,1908,5,3,-9,-9,382,382,17,4,1,1,1,0,0,0,0,3.1
3133,17,7,1909,17,1,1910,5,3,0,0,185,185,7,3,0,1,1,0,0,0,0,3.1
3134,1,11,1919,20,10,1921,2,1,6,-9,720,720,20,5,1,1,1,0,0,0,0,3.1
3135,10,3,1966,14,4,1966,4,1,0,0,36,36,7,3,0,1,1,0,0,0,0,3.1
3136,26,3,1887,30,4,1887,4,1,0,0,36,36,7,3,0,1,1,0,0,0,0,3.1
3138,1,7,1831,14,7,1831,1,1,0,0,14,14,16,4,0,1,1,0,0,0,0,3.1
3139,15,4,1911,30,6,1911,1,2,-9,-9,77,77,16,4,1,1,1,0,0,0,0,3.1
3150,23,4,1959,24,4,1959,5,3,0,0,2,2,16,4,1,1,1,0,0,0,0,3.1
3151,5,3,1958,5,3,1958,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3152,5,3,1958,13,4,1958,5,3,-9,-9,40,40,17,4,1,1,1,0,0,0,0,3.1
3153,7,1,1956,10,1,1956,5,3,0,0,4,4,7,3,0,1,1,0,0,0,0,3.1
3154,3,11,1955,10,12,1956,5,3,1,-9,404,404,17,4,1,1,1,0,0,0,0,3.1
3155,26,3,1955,30,3,1955,5,3,0,0,5,5,12,3,1,1,1,0,0,0,0,3.1
3156,7,10,1934,7,10,1934,5,3,0,0,1,1,16,4,1,1,1,0,0,0,0,3.1
3157,16,7,1934,16,7,1934,3,1,1,-9,1,1,16,4,0,1,1,0,0,0,0,3.1
3158,23,8,1935,30,8,1935,5,3,0,0,8,8,7,3,0,1,1,0,0,0,0,3.1
3159,15,12,1934,15,12,1934,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3160,11,4,1933,11,4,1933,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3161,26,4,1949,14,8,1949,5,3,0,0,111,111,7,3,1,2,1,0,0,0,0,3.1
3162,26,9,1960,30,9,1960,5,3,0,0,5,5,16,4,0,1,1,0,0,0,0,3.1
3163,17,8,1962,17,8,1962,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3164,15,8,1962,19,8,1962,5,3,0,0,5,5,16,4,1,1,1,0,0,0,0,3.1
3165,30,3,1962,30,3,1962,5,3,1,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3166,19,8,1963,8,11,1963,6,1,1,-9,82,82,16,4,0,1,1,0,0,0,0,3.1
3167,5,2,1963,5,2,1963,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
