"DispNum","StDay","StMon","StYear","EndDay","EndMon","EndYear","Outcome","Settle","Fatality","FatalPre","MaxDur","MinDur","HiAct","HostLev","Recip","NumA","NumB","Link1","Link2","Link3","Ongo2001","Version"
3406,12,2,1961,15,8,1961,5,3,0,0,185,185,16,4,1,1,1,0,0,0,0,3.1
3407,3,8,1962,30,8,1962,5,3,2,-9,28,28,16,4,1,1,1,0,0,0,0,3.1
3408,7,11,1963,17,2,1964,5,3,0,0,103,103,16,4,1,1,1,0,0,0,0,3.1
3409,3,11,1964,21,3,1965,5,3,1,-9,139,139,16,4,1,1,1,0,0,0,0,3.1
3410,2,12,1965,2,12,1965,5,3,0,0,1,1,16,4,1,1,1,0,0,0,0,3.1
3411,16,2,1950,4,9,1950,5,3,1,-9,201,201,16,4,1,1,1,0,0,0,0,3.1
3412,17,9,1966,27,11,1966,5,3,0,0,72,72,16,4,1,3,1,0,0,0,0,3.1
3413,16,12,1951,29,6,1952,5,3,1,-9,197,197,16,4,1,1,1,0,0,0,0,3.1
3414,9,1,1952,25,4,1952,7,3,0,0,108,108,15,4,0,1,1,0,0,0,0,3.1
3415,15,8,1954,28,12,1954,7,3,0,0,136,136,15,4,1,1,1,0,0,0,0,3.1
3416,4,8,1955,4,8,1955,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3417,-9,2,1953,22,1,1958,5,3,2,-9,1817,1769,16,4,1,1,1,0,0,0,0,3.1
3418,29,3,1955,31,3,1955,5,3,0,0,3,3,16,4,1,1,1,0,0,0,0,3.1
3419,10,11,1958,8,9,1963,5,3,2,-9,1764,1764,16,4,1,2,1,0,0,0,0,3.1
3420,14,9,1958,18,9,1958,7,3,0,0,5,5,15,4,0,1,1,0,0,0,0,3.1
3421,24,5,1959,20,8,1959,7,3,0,0,89,89,15,4,0,1,1,0,0,0,0,3.1
3422,6,7,1960,13,7,1960,7,3,0,0,8,8,15,4,0,1,1,0,0,0,0,3.1
3423,4,12,1962,11,11,1963,5,3,0,0,343,343,10,3,1,1,1,0,0,0,0,3.1
3424,22,7,1963,4,9,1963,5,3,1,-9,45,45,16,4,1,1,1,0,0,0,0,3.1
3425,21,4,1964,27,11,1966,5,3,1,-9,951,951,16,4,1,1,1,0,0,0,0,3.1
3427,9,10,1950,13,7,1952,5,3,2,-9,644,644,16,4,1,1,1,0,0,0,0,3.1
3428,22,2,1953,28,10,1953,5,3,0,0,249,249,16,4,1,1,1,0,0,0,0,3.1
3429,20,7,1954,17,3,1959,5,3,1,-9,1702,1702,16,4,1,2,1,0,0,0,0,3.1
3430,7,10,1959,22,8,1960,5,3,0,0,321,321,16,4,1,1,1,0,0,0,0,3.1
3431,30,5,1961,30,1,1963,5,3,1,-9,611,611,16,4,1,2,1,0,0,0,0,3.1
3433,13,2,1966,3,8,1966,5,3,1,-9,172,172,16,4,1,1,1,0,0,0,0,3.1
3434,27,9,1961,27,9,1961,5,3,0,0,1,1,12,3,1,1,1,0,0,0,0,3.1
3435,11,9,1965,21,2,1966,5,3,0,0,164,164,4,2,1,1,1,0,0,0,0,3.1
3437,7,11,1973,31,5,1974,2,1,-9,-9,206,206,16,4,1,1,1,0,0,0,0,3.1
3438,8,6,1974,20,10,1975,5,1,0,0,500,500,15,4,1,1,1,0,0,0,0,3.1
3439,26,11,1975,23,9,1977,5,3,0,0,668,668,16,4,1,1,1,0,0,0,0,3.1
3440,1,7,1978,11,7,1978,5,3,0,0,11,11,17,4,1,1,1,0,0,0,0,3.1
3441,27,6,1979,-9,2,1980,5,3,1,-9,247,220,16,4,1,1,1,0,0,0,0,3.1
3442,4,10,1982,14,6,1984,5,3,-9,-9,620,620,16,4,1,1,1,0,0,0,0,3.1
3443,13,6,1985,7,8,1986,5,3,-9,-9,421,421,16,4,1,1,1,0,0,0,0,3.1
3444,11,4,1982,5,6,1985,2,1,6,-9,1153,1153,20,5,1,1,2,0,0,0,0,3.1
3445,6,4,1949,13,4,1949,5,1,0,0,8,8,12,3,1,1,1,0,0,0,0,3.1
3446,15,6,1967,27,11,1967,5,3,0,0,166,166,17,4,1,1,1,0,0,0,0,3.1
3447,3,9,1968,17,10,1971,5,3,-9,-9,1140,1140,17,4,1,1,1,0,0,0,0,3.1
3448,24,8,1980,25,7,1981,5,1,1,-9,336,336,17,4,1,2,1,0,0,0,0,3.1
3500,4,4,1919,22,9,1919,5,2,-9,-9,172,172,17,4,1,1,1,0,0,0,0,3.1
3501,-9,1,1921,9,4,1921,5,1,-9,-9,99,61,17,4,1,1,1,0,0,0,0,3.1
3503,22,8,1942,22,2,1943,5,3,0,0,185,185,18,4,0,1,2,0,0,0,0,3.1
3505,24,4,1941,24,10,1941,5,3,0,0,184,184,18,4,0,1,1,0,0,0,0,3.1
3506,6,6,1945,14,8,1945,5,3,0,0,70,70,18,4,0,1,1,0,0,0,0,3.1
3507,12,2,1945,12,8,1945,5,3,0,0,182,182,18,4,0,1,2,0,0,0,0,3.1
3508,15,2,1945,14,8,1945,5,3,0,0,181,181,18,4,0,1,2,0,0,0,0,3.1
3509,27,3,1945,14,8,1945,5,3,0,0,141,141,18,4,0,1,2,0,0,0,0,3.1
3510,11,4,1945,14,8,1945,5,3,0,0,126,126,18,4,0,1,1,0,0,0,0,3.1
3511,24,2,1945,14,8,1945,5,3,0,0,172,172,18,4,0,1,2,0,0,0,0,3.1
3512,1,3,1945,14,8,1945,5,3,0,0,167,167,18,4,0,1,1,0,0,0,0,3.1
3513,8,12,1941,24,6,1942,5,3,0,0,199,199,18,4,1,1,6,0,0,0,0,3.1
3514,8,12,1941,19,6,1942,5,3,0,0,194,194,18,4,1,1,6,0,0,0,0,3.1
3515,9,9,1943,9,3,1944,5,3,0,0,183,183,18,4,0,1,1,0,0,0,0,3.1
3516,4,12,1943,4,6,1944,5,3,0,0,184,184,18,4,0,1,3,0,0,0,0,3.1
3517,26,11,1943,26,5,1944,5,3,0,0,183,183,18,4,0,1,1,0,0,0,0,3.1
3518,8,12,1941,11,6,1942,5,3,0,0,186,186,18,4,0,1,3,0,0,0,0,3.1
3519,9,12,1941,11,6,1942,5,3,0,0,185,185,18,4,0,1,3,0,0,0,0,3.1
3520,8,12,1941,11,6,1942,5,3,0,0,186,186,18,4,0,1,3,0,0,0,0,3.1
3521,8,12,1941,12,6,1942,5,3,0,0,187,187,18,4,0,1,3,0,0,0,0,3.1
3522,9,12,1941,11,6,1942,5,3,0,0,185,185,18,4,0,1,3,0,0,0,0,3.1
3523,8,12,1941,13,6,1942,5,3,0,0,188,188,18,4,0,1,3,0,0,0,0,3.1
3524,22,5,1942,22,11,1942,5,3,0,0,185,185,18,4,0,1,3,0,0,0,0,3.1
3525,7,12,1941,12,6,1942,5,3,0,0,188,188,18,4,0,1,3,0,0,0,0,3.1
3526,27,1,1944,27,7,1944,5,3,0,0,183,183,18,4,0,1,2,0,0,0,0,3.1
3527,14,12,1942,14,6,1943,5,3,0,0,183,183,18,4,0,1,3,0,0,0,0,3.1
3540,30,12,1983,14,6,1986,5,3,2,-9,898,898,16,4,1,1,1,0,0,0,0,3.1
3541,19,2,1984,30,4,1984,5,3,0,0,72,72,7,3,1,1,1,0,0,0,0,3.1
3542,26,6,1940,28,6,1940,4,2,0,0,3,3,14,4,0,1,1,0,0,0,0,3.1
3550,24,4,1992,24,4,1992,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3551,16,7,1992,2,10,1996,1,1,0,0,1540,1540,15,4,1,11,1,0,0,0,0,3.1
3552,27,7,1992,23,12,1993,5,3,-9,-9,516,516,17,4,0,6,1,0,0,0,0,3.1
3553,17,10,1992,17,10,1992,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
3554,9,12,1992,31,12,1992,5,3,0,0,23,23,11,3,0,1,1,0,0,0,0,3.1
3555,20,1,1992,10,7,1992,5,3,4,-9,316,316,17,4,1,1,1,0,0,0,0,3.1
3556,22,10,1992,28,10,1992,6,1,4,-9,6,6,17,4,1,1,1,0,0,0,0,3.1
3557,6,4,1992,25,1,1993,5,3,4,-9,295,295,17,4,1,1,1,0,0,0,0,3.1
3558,31,3,1992,21,7,1992,6,1,-9,-9,113,113,17,4,1,1,1,0,0,0,0,3.1
3559,14,7,1992,14,7,1992,5,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3560,27,7,1992,2,8,1992,5,3,0,0,7,7,17,4,1,1,1,0,0,0,0,3.1
3561,13,6,1992,26,10,1993,2,2,2,-9,501,501,17,4,1,1,1,0,0,0,0,3.1
3563,16,9,1992,21,9,1992,5,3,0,0,6,6,16,4,1,1,1,0,0,0,0,3.1
3564,26,1,1992,-9,1,1995,5,3,6,-9,1101,1071,17,5,1,2,3,0,0,0,0,3.1
3565,12,12,1992,12,12,1992,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3566,5,4,1992,8,9,1992,5,3,0,0,157,157,16,4,1,1,1,0,0,0,0,3.1
3567,15,4,1992,18,4,1992,5,3,0,0,4,4,7,3,0,1,1,0,0,0,0,3.1
3568,7,10,1992,2,1,1994,5,3,1,-9,490,490,17,4,1,1,4,0,0,0,0,3.1
3569,30,9,1992,23,10,1992,6,1,0,0,24,24,14,4,0,1,1,0,0,0,0,3.1
3570,22,5,1992,22,5,1992,5,3,1,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3571,11,3,1992,17,3,1992,5,3,0,0,7,7,16,4,0,1,1,0,0,0,0,3.1
3572,31,5,1992,31,5,1992,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3573,29,4,1992,4,6,1992,7,1,0,0,37,37,15,4,0,1,1,0,0,0,0,3.1
3574,1,2,1992,25,12,1992,6,1,-9,-9,329,329,16,4,1,1,1,0,0,0,0,3.1
3599,2,5,1919,9,6,1919,6,1,-9,-9,39,39,17,4,1,1,1,0,0,0,0,3.1
3602,9,4,1977,11,4,1977,5,3,0,0,3,3,16,4,0,1,1,0,0,0,0,3.1
3603,25,6,1977,25,6,1977,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3604,19,2,1978,19,2,1978,5,3,-9,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3606,29,6,1978,12,10,1978,5,3,0,0,106,106,7,3,0,1,1,0,0,0,0,3.1
3607,6,2,1979,18,2,1979,7,3,0,0,13,13,15,4,0,1,1,0,0,0,0,3.1
3609,18,4,1980,17,6,1980,7,3,0,0,61,61,15,4,0,1,1,0,0,0,0,3.1
3610,23,9,1980,23,9,1980,5,3,0,0,1,1,7,3,1,1,1,0,0,0,0,3.1
3612,15,1,1982,15,1,1982,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3613,3,12,1982,7,12,1982,5,3,0,0,5,5,7,3,0,2,1,0,0,0,0,3.1
3614,10,4,1983,24,4,1983,5,3,2,-9,15,15,16,4,1,1,1,0,0,0,0,3.1
3615,28,4,1983,7,5,1983,7,3,0,0,10,10,15,4,1,1,1,0,0,0,0,3.1
3616,4,9,1983,4,3,1984,5,3,0,0,183,183,7,3,0,1,2,0,0,0,0,3.1
3617,9,5,1984,23,7,1984,5,3,0,0,76,76,16,4,1,1,6,0,0,0,0,3.1
3618,7,5,1985,5,11,1985,5,3,-9,-9,183,183,17,4,1,1,1,0,0,0,0,3.1
3620,28,8,1985,2,12,1985,5,3,0,0,97,97,8,3,1,1,2,0,0,0,0,3.1
3621,30,9,1985,30,9,1985,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3622,9,1,1985,6,2,1986,5,3,-9,-9,394,394,17,4,1,1,1,0,0,0,0,3.1
3625,16,11,1985,16,3,1986,3,3,0,0,121,121,8,3,1,1,4,0,0,0,0,3.1
3626,27,2,1986,22,4,1986,5,3,1,-9,55,55,16,4,1,1,1,0,0,0,0,3.1
3628,-9,10,1986,15,3,1987,5,1,6,-9,166,122,20,5,1,1,1,0,0,0,0,3.1
3629,23,6,1986,-9,7,1986,5,3,-9,-9,39,9,17,4,1,1,1,0,0,0,0,3.1
3630,1,3,1982,14,6,1982,2,2,6,-9,106,106,20,5,1,1,1,0,0,0,0,3.1
3631,2,7,1977,17,12,1980,1,2,-9,-9,1265,1265,17,4,1,1,2,0,0,0,0,3.1
3632,3,12,1980,3,12,1980,5,3,0,0,1,1,8,3,0,1,1,0,0,0,0,3.1
3633,13,12,1980,15,11,1981,5,3,0,0,338,338,7,3,1,2,1,0,0,0,0,3.1
3634,27,2,1983,21,12,1984,5,1,-9,-9,664,664,16,4,1,1,4,0,0,0,0,3.1
3635,10,2,1986,11,9,1987,5,3,-9,-9,579,579,17,4,1,1,2,0,0,0,0,3.1
3636,13,1,1986,15,4,1986,3,3,-9,-9,93,93,16,4,1,1,1,0,0,0,0,3.1
3637,7,1,1986,7,1,1986,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3638,5,10,1987,5,10,1987,5,3,1,-9,1,1,16,4,1,1,1,0,0,0,0,3.1
3639,14,1,1984,12,7,1984,5,3,-9,-9,181,181,16,4,1,1,1,0,0,0,0,3.1
3640,21,11,1970,27,11,1970,5,3,-9,-9,7,7,17,4,1,1,1,0,0,0,0,3.1
3642,-9,8,1870,-9,7,1871,1,2,0,0,365,305,17,4,1,1,1,0,0,0,0,3.1
3645,18,4,1903,28,4,1904,5,3,0,0,377,377,14,4,0,1,1,0,0,0,0,3.1
3646,-9,5,1910,-9,4,1911,4,1,0,0,365,306,11,3,0,1,1,0,0,0,0,3.1
3647,22,3,1911,27,3,1911,4,1,0,0,6,6,7,3,0,1,1,0,0,0,0,3.1
3655,-9,12,1933,-9,1,1934,5,3,0,0,62,2,16,4,0,1,1,0,0,0,0,3.1
3656,-9,9,1937,-9,1,1938,5,3,0,0,153,94,16,4,0,1,1,0,0,0,0,3.1
3659,6,11,1971,6,11,1971,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
3700,1,11,1939,30,11,1939,7,3,0,0,30,30,15,4,0,1,1,0,0,0,0,3.1
3701,5,11,1939,10,5,1940,9,3,1,-9,188,188,21,5,1,1,1,0,0,0,0,3.1
3702,5,11,1939,10,5,1940,9,3,0,0,188,188,21,5,1,1,1,0,0,0,0,3.1
3703,5,11,1939,16,5,1940,1,2,0,0,194,194,17,4,1,1,1,0,0,0,0,3.1
3704,16,2,1940,25,3,1940,5,3,0,0,39,39,12,3,0,1,1,0,0,0,0,3.1
3705,4,11,1939,9,4,1940,9,3,0,0,158,158,21,5,1,1,1,0,0,0,0,3.1
3706,26,2,1940,9,4,1940,1,2,2,-9,44,44,16,4,1,1,1,0,0,0,0,3.1
3707,10,1,1940,20,3,1940,5,3,0,0,71,71,16,4,0,1,1,0,0,0,0,3.1
3708,24,10,1939,24,10,1939,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3709,14,12,1939,3,11,1940,6,1,0,0,326,326,15,4,0,1,1,0,0,0,0,3.1
3710,12,6,1940,12,6,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3711,13,12,1940,13,12,1940,5,3,0,0,1,1,18,4,0,1,1,0,0,0,0,3.1
3712,13,3,1941,13,3,1941,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3713,25,7,1940,25,7,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3714,8,2,1945,8,2,1945,8,3,0,0,1,1,18,4,0,1,2,0,0,0,0,3.1
3715,7,2,1945,7,8,1945,5,3,0,0,182,182,18,4,0,1,2,0,0,0,0,3.1
3716,8,9,1943,9,9,1943,4,3,0,0,2,2,1,2,0,2,1,0,0,0,0,3.1
3717,9,9,1943,18,10,1943,9,3,-9,-9,40,40,21,5,1,1,1,0,0,0,0,3.1
3718,25,6,1940,1,7,1940,8,4,1,-9,7,7,14,4,0,1,1,0,0,0,0,3.1
3719,6,11,1939,4,1,1940,7,1,0,0,60,60,15,4,1,1,1,0,0,0,0,3.1
3720,5,11,1940,5,11,1940,8,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3721,7,4,1942,7,4,1942,8,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3722,30,4,1943,30,4,1943,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3723,5,11,1939,2,3,1940,8,3,0,0,119,119,15,4,0,1,1,0,0,0,0,3.1
3724,19,11,1939,10,6,1940,9,3,0,0,205,205,21,5,1,1,1,0,0,0,0,3.1
3725,3,7,1882,15,9,1882,1,2,6,-9,75,75,20,5,1,2,1,0,0,0,0,3.1
3800,12,6,1940,1,7,1940,8,3,0,0,20,20,16,4,0,1,1,0,0,0,0,3.1
3801,1,4,1940,18,10,1940,5,3,0,0,201,201,16,4,1,1,1,0,0,0,0,3.1
3802,15,5,1940,30,10,1940,5,3,0,0,169,169,12,3,0,1,1,0,0,0,0,3.1
3803,-9,2,1940,24,2,1940,5,3,0,0,24,1,7,3,1,1,1,0,0,0,0,3.1
3804,5,11,1939,13,12,1940,5,3,0,0,405,405,16,4,0,1,1,0,0,0,0,3.1
3805,2,6,1941,2,6,1941,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3806,7,2,1942,28,4,1944,5,3,0,0,812,812,16,4,1,1,1,0,0,0,0,3.1
3807,26,7,1940,26,7,1940,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3808,2,12,1939,2,12,1939,5,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3809,12,12,1939,12,12,1939,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3810,10,1,1940,10,1,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3811,12,10,1940,19,10,1940,5,3,0,0,8,8,16,4,0,1,1,0,0,0,0,3.1
3812,2,4,1940,4,4,1940,7,3,0,0,3,3,15,4,0,1,1,0,0,0,0,3.1
3813,4,3,1940,6,4,1941,9,3,-9,-9,399,399,21,5,1,3,1,0,0,0,0,3.1
3814,10,10,1940,-9,12,1940,5,3,-9,-9,83,53,15,4,1,1,1,0,0,0,0,3.1
3820,15,4,1940,10,6,1940,9,3,0,0,57,57,21,5,0,1,1,0,0,0,0,3.1
3821,23,5,1940,9,1,1941,4,2,0,0,232,232,14,4,0,1,1,0,0,0,0,3.1
3822,26,8,1940,22,6,1941,9,3,-9,-9,301,301,21,5,1,1,1,0,0,0,0,3.1
3823,-9,8,1940,30,8,1940,4,1,0,0,30,1,11,3,0,1,1,0,0,0,0,3.1
3824,5,8,1940,5,8,1940,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3825,28,8,1940,22,6,1941,4,2,0,0,299,299,14,4,0,1,1,0,0,0,0,3.1
3826,24,8,1944,9,9,1944,9,3,-9,-9,17,17,21,5,1,1,2,0,0,0,0,3.1
3827,26,8,1944,6,9,1944,9,3,-9,-9,12,12,21,5,1,1,1,0,0,0,0,3.1
3828,1,8,1944,1,8,1944,5,3,0,0,1,1,17,4,1,1,1,0,0,0,0,3.1
3829,6,11,1939,5,1,1940,5,3,0,0,61,61,15,4,0,1,1,0,0,0,0,3.1
3830,10,12,1939,13,12,1939,5,3,0,0,4,4,16,4,1,1,1,0,0,0,0,3.1
3831,19,12,1939,19,12,1939,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3832,13,12,1939,11,2,1940,5,3,0,0,61,61,15,4,1,1,1,0,0,0,0,3.1
3833,13,12,1939,13,12,1939,5,3,0,0,1,1,12,3,0,1,1,0,0,0,0,3.1
3834,22,12,1939,28,12,1939,7,3,-9,-9,7,7,15,4,0,1,1,0,0,0,0,3.1
3835,29,5,1940,29,5,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3836,16,7,1940,22,10,1940,5,3,0,0,99,99,17,4,1,1,1,0,0,0,0,3.1
3837,1,10,1940,1,10,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3850,19,1,1940,20,2,1941,5,3,0,0,399,399,17,4,1,2,1,0,0,0,0,3.1
3851,22,9,1940,20,10,1940,7,3,0,0,29,29,15,4,1,1,1,0,0,0,0,3.1
3852,14,7,1940,14,7,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3853,16,6,1940,21,10,1940,8,3,-9,-9,128,128,16,4,1,1,1,0,0,0,0,3.1
3854,19,9,1940,19,9,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3855,14,7,1940,27,12,1940,5,3,0,0,167,167,16,4,0,1,1,0,0,0,0,3.1
3856,11,10,1940,11,10,1940,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3857,11,10,1940,11,10,1940,5,3,0,0,1,1,7,3,0,1,1,0,0,0,0,3.1
3858,11,10,1940,4,11,1940,4,1,0,0,25,25,11,3,1,2,1,0,0,0,0,3.1
3859,4,11,1940,4,11,1940,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3860,14,1,1940,2,4,1940,7,3,0,0,80,80,15,4,0,1,1,0,0,0,0,3.1
3861,11,4,1940,17,5,1940,4,3,0,0,37,37,7,3,0,1,1,0,0,0,0,3.1
3862,24,11,1940,24,11,1940,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3863,20,8,1940,29,10,1940,5,3,0,0,71,71,16,4,0,1,1,0,0,0,0,3.1
3864,3,12,1940,16,12,1940,7,3,0,0,14,14,15,4,0,1,1,0,0,0,0,3.1
3866,9,3,1942,9,3,1942,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3867,31,1,1941,31,1,1941,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3868,22,9,1941,7,10,1941,4,3,0,0,16,16,3,2,0,1,1,0,0,0,0,3.1
3869,19,9,1941,7,10,1941,5,3,0,0,19,19,12,3,0,1,1,0,0,0,0,3.1
3870,2,1,1941,2,1,1941,5,3,0,0,1,1,11,3,0,1,1,0,0,0,0,3.1
3871,8,2,1941,8,2,1941,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3872,8,1,1941,8,1,1941,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3873,19,5,1941,19,5,1941,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3874,13,10,1941,13,10,1941,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3875,16,3,1942,16,3,1942,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3876,17,3,1942,7,8,1942,5,3,0,0,144,144,16,4,0,1,1,0,0,0,0,3.1
3877,24,4,1942,1,6,1942,5,3,0,0,39,39,18,4,1,2,1,0,0,0,0,3.1
3878,2,8,1942,2,8,1942,5,3,0,0,1,1,18,4,0,1,1,0,0,0,0,3.1
3879,24,2,1942,24,2,1942,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3880,9,12,1942,9,12,1942,5,3,0,0,1,1,18,4,0,1,1,0,0,0,0,3.1
3881,1,1,1942,30,10,1942,5,3,0,0,303,303,16,4,0,1,1,0,0,0,0,3.1
3882,21,3,1942,22,3,1942,5,3,0,0,2,2,16,4,0,1,1,0,0,0,0,3.1
3883,24,2,1942,24,2,1942,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3884,7,2,1943,7,2,1943,5,3,0,0,1,1,3,2,0,1,1,0,0,0,0,3.1
3885,18,1,1943,18,1,1943,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3886,26,11,1943,26,11,1943,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3887,11,12,1943,11,12,1943,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3900,11,12,1989,11,12,1989,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3901,12,1,1989,22,12,1989,2,2,3,-9,345,345,16,4,1,1,1,0,0,0,0,3.1
3903,2,8,1989,2,8,1989,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3904,23,5,1989,29,5,1989,5,3,1,-9,7,7,16,4,1,1,1,0,0,0,0,3.1
3905,9,4,1989,30,9,1989,5,3,1,-9,175,175,16,4,1,1,1,0,0,0,0,3.1
3906,11,12,1989,15,12,1989,1,2,0,0,5,5,14,4,0,1,1,0,0,0,0,3.1
3907,30,11,1989,12,2,1990,5,3,0,0,75,75,7,3,0,1,1,0,0,0,0,3.1
3908,29,8,1989,29,8,1989,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3909,12,1,1989,12,1,1989,5,3,0,0,1,1,8,3,1,1,1,0,0,0,0,3.1
3910,10,4,1989,27,4,1989,5,3,0,0,18,18,16,4,1,1,1,0,0,0,0,3.1
3911,12,3,1989,12,3,1989,5,3,2,-9,1,1,17,4,1,1,1,0,0,0,0,3.1
3912,15,11,1989,3,2,1990,6,1,1,-9,81,81,16,4,1,1,1,0,0,0,0,3.1
3913,20,9,1989,20,9,1989,5,3,0,0,1,1,16,4,1,1,1,0,0,0,0,3.1
3914,17,2,1989,13,3,1989,5,3,1,-9,25,25,16,4,1,1,1,0,0,0,0,3.1
3915,3,6,1989,3,6,1989,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3916,11,2,1989,7,4,1989,5,3,0,0,56,56,16,4,1,1,1,0,0,0,0,3.1
3917,28,1,1989,28,1,1989,5,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3918,15,7,1989,15,7,1989,5,3,0,0,1,1,17,4,1,1,1,0,0,0,0,3.1
3919,21,5,1989,21,5,1989,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3920,23,1,1989,22,7,1989,5,3,0,0,181,181,16,4,0,1,1,0,0,0,0,3.1
3921,25,10,1989,25,10,1989,5,3,0,0,1,1,17,4,1,1,1,0,0,0,0,3.1
3922,21,10,1989,21,10,1989,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3950,31,1,1990,-9,5,1990,5,3,0,0,121,91,16,4,1,1,1,0,0,0,0,3.1
3951,2,10,1990,2,10,1990,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3952,15,4,1990,24,5,1990,5,1,1,-9,40,40,16,4,1,1,1,0,0,0,0,3.1
3953,15,11,1989,16,4,1990,5,3,2,-9,153,153,17,4,1,1,1,0,0,0,0,3.1
3954,4,1,1990,4,1,1990,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3955,21,2,1990,21,2,1990,5,3,0,0,1,1,16,4,0,1,1,0,0,0,0,3.1
3956,2,4,1990,28,2,1991,5,3,0,0,333,333,16,4,1,1,1,0,0,0,0,3.1
3957,28,5,1990,3,3,1991,2,2,6,-9,280,280,20,5,1,2,27,0,0,0,0,3.1
3958,4,5,1990,3,3,1991,5,3,1,-9,304,304,16,4,1,1,1,0,0,0,0,3.1
3959,11,2,1990,22,12,1990,6,1,1,-9,315,315,17,4,1,1,1,0,0,0,0,3.1
3960,8,2,1990,21,2,1990,5,3,1,-9,14,14,17,4,1,1,1,0,0,0,0,3.1
3961,25,6,1990,29,10,1990,6,1,0,0,127,127,16,4,0,1,1,0,0,0,0,3.1
3970,-9,2,1991,3,3,1991,5,3,0,0,31,2,7,3,0,1,1,0,0,0,0,3.1
3971,24,1,1991,24,1,1991,5,3,0,0,1,1,1,2,0,1,1,0,0,0,0,3.1
3972,29,7,1991,29,7,1991,7,3,0,0,1,1,15,4,0,1,1,0,0,0,0,3.1
3973,21,5,1991,21,5,1991,5,3,0,0,1,1,16,4,1,1,1,0,0,0,0,3.1
3974,15,3,1991,31,12,1991,8,4,-9,-9,292,292,16,4,1,3,1,0,0,0,0,3.1
3975,27,10,1991,5,11,1991,6,1,0,0,10,10,7,3,0,2,1,0,0,0,0,3.1
