"present","ccode","scode","country","polity","persist","bmonth","bday","byear","emonth","eday","eyear","democ","autoc","xrreg","xrcomp","xropen","xconst","parreg","parcomp","exrec","exconst","polcomp"
,350,"GRC","Greece",-88,1,7,24,1974,6,7,1975,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,350,"GRC","Greece",8,11,6,8,1975,3,7,1986,8,0,3,3,4,5,5,5,8,5,10
1,350,"GRC","Greece",10,25,3,8,1986,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,372,"GRG","Georgia",4,5,4,9,1991,11,6,1995,5,1,2,2,4,5,3,3,7,5,6
,372,"GRG","Georgia",5,4,11,7,1995,4,8,2000,6,1,2,2,4,5,3,4,7,5,8
,372,"GRG","Georgia",5,4,4,9,2000,1,24,2004,5,0,2,2,4,5,2,3,7,5,7
,372,"GRG","Georgia",7,4,1,25,2004,11,6,2007,7,0,3,3,4,5,2,4,8,5,9
1,372,"GRG","Georgia",6,3,11,7,2007,99,99,9999,7,1,3,3,4,5,3,4,8,5,8
,90,"GUA","Guatemala",-3,12,4,30,1839,10,22,1850,1,4,1,0,0,1,3,3,4,1,6
,90,"GUA","Guatemala",-1,3,10,23,1850,4,30,1854,1,2,1,0,0,3,3,3,4,3,6
,90,"GUA","Guatemala",-3,17,5,1,1854,6,20,1871,1,4,1,0,0,1,3,3,4,1,6
,90,"GUA","Guatemala",-88,2,6,21,1871,3,29,1873,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,90,"GUA","Guatemala",-1,4,3,30,1873,10,23,1876,1,2,1,0,0,3,3,3,4,3,6
,90,"GUA","Guatemala",-5,2,10,24,1876,3,15,1879,1,6,2,1,4,1,3,3,3,1,6
,90,"GUA","Guatemala",-88,1,3,16,1879,12,11,1879,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,90,"GUA","Guatemala",2,17,12,12,1879,6,30,1896,4,2,3,3,4,3,3,3,8,3,6
,90,"GUA","Guatemala",-3,2,7,1,1896,10,2,1898,1,4,1,0,0,1,3,3,4,1,6
,90,"GUA","Guatemala",2,2,10,3,1898,6,30,1900,4,2,3,3,4,3,3,3,8,3,6
,90,"GUA","Guatemala",-9,21,7,1,1900,12,5,1921,0,9,2,1,4,1,4,1,3,1,1
,90,"GUA","Guatemala",2,9,12,6,1921,3,15,1931,4,2,3,3,4,3,3,3,8,3,6
,90,"GUA","Guatemala",-9,14,3,16,1931,12,19,1944,0,9,2,1,4,1,4,1,3,1,1
,90,"GUA","Guatemala",5,6,12,20,1944,12,10,1950,6,1,3,3,4,3,5,5,8,3,10
,90,"GUA","Guatemala",2,4,12,11,1950,6,27,1954,4,2,3,3,4,3,3,3,8,3,6
,90,"GUA","Guatemala",-6,4,6,28,1954,1,19,1958,0,6,1,0,0,1,4,2,4,1,2
,90,"GUA","Guatemala",-5,5,1,20,1958,3,30,1963,0,5,2,1,4,3,3,2,3,3,3
,90,"GUA","Guatemala",-5,3,3,31,1963,3,6,1966,0,5,1,0,0,1,3,2,4,1,3
,90,"GUA","Guatemala",3,4,3,7,1966,3,1,1970,4,1,3,3,4,3,2,3,8,3,7
,90,"GUA","Guatemala",1,4,3,2,1970,3,3,1974,3,2,2,2,4,3,3,3,7,3,6
,90,"GUA","Guatemala",-3,4,3,4,1974,3,5,1978,1,4,2,1,4,3,3,3,3,3,6
,90,"GUA","Guatemala",-5,4,3,6,1978,3,23,1982,0,5,2,1,4,3,3,2,3,3,3
,90,"GUA","Guatemala",-7,2,3,24,1982,7,1,1984,0,7,1,0,0,1,4,1,4,1,1
,90,"GUA","Guatemala",-6,1,7,2,1984,5,31,1985,0,6,1,0,0,1,4,2,4,1,2
,90,"GUA","Guatemala",-88,1,6,1,1985,1,14,1986,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,90,"GUA","Guatemala",3,10,1,15,1986,1,15,1996,4,1,3,3,4,3,2,3,8,3,7
1,90,"GUA","Guatemala",8,15,1,16,1996,99,99,9999,8,0,3,3,4,6,2,4,8,6,9
,438,"GUI","Guinea",-9,25,10,2,1958,4,3,1984,0,9,2,1,4,1,4,1,3,1,1
,438,"GUI","Guinea",-7,8,4,4,1984,12,23,1991,0,7,1,0,0,1,4,1,4,1,1
,438,"GUI","Guinea",-5,4,12,24,1991,7,12,1995,0,5,1,0,0,2,4,2,4,2,2
,438,"GUI","Guinea",-1,15,7,13,1995,2,2,2010,1,2,2,0,0,3,3,3,5,3,6
,438,"GUI","Guinea",-88,1,2,3,2010,12,20,2010,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,438,"GUI","Guinea",5,0,12,21,2010,99,99,9999,6,1,2,2,4,5,3,4,7,5,8
,110,"GUY","Guyana",2,3,5,26,1966,12,16,1968,5,3,2,1,4,7,3,3,3,7,6
,110,"GUY","Guyana",1,9,12,17,1968,4,10,1978,4,3,2,1,4,6,3,3,3,6,6
,110,"GUY","Guyana",0,3,4,11,1978,10,6,1980,3,3,2,1,4,5,3,3,3,5,6
,110,"GUY","Guyana",-7,12,10,7,1980,10,5,1992,0,7,2,1,4,1,3,2,3,1,3
1,110,"GUY","Guyana",6,18,10,6,1992,99,99,9999,6,0,3,3,4,5,2,3,8,5,7
,41,"HAI","Haiti",-3,95,7,1,1820,7,4,1915,0,3,1,0,0,1,1,0,4,1,4
,41,"HAI","Haiti",-66,3,7,5,1915,6,19,1918,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,41,"HAI","Haiti",2,17,6,20,1918,6,17,1935,3,1,3,3,4,3,1,0,8,3,4
,41,"HAI","Haiti",0,10,6,18,1935,1,11,1946,3,3,3,3,4,1,1,0,8,1,4
,41,"HAI","Haiti",-88,4,1,12,1946,5,10,1950,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,41,"HAI","Haiti",-5,1,5,11,1950,6,30,1951,0,5,2,1,4,1,1,0,3,1,4
,41,"HAI","Haiti",-5,7,7,1,1951,6,30,1958,0,5,2,1,4,1,2,0,3,1,5
,41,"HAI","Haiti",-8,3,7,1,1958,12,15,1961,0,8,2,1,4,1,4,2,3,1,2
,41,"HAI","Haiti",-9,9,12,16,1961,4,21,1971,0,9,2,1,4,1,4,1,3,1,1
,41,"HAI","Haiti",-10,6,4,22,1971,5,28,1977,0,10,3,1,1,1,4,1,1,1,1
,41,"HAI","Haiti",-9,9,5,29,1977,2,7,1986,0,9,3,1,1,1,4,2,1,1,2
,41,"HAI","Haiti",-88,2,2,8,1986,6,20,1988,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,41,"HAI","Haiti",-7,1,6,21,1988,7,1,1989,0,7,1,0,0,1,4,1,4,1,1
,41,"HAI","Haiti",-6,1,7,2,1989,12,15,1990,0,6,1,0,0,1,4,2,4,1,2
,41,"HAI","Haiti",7,1,12,16,1990,9,30,1991,7,0,3,3,4,6,2,3,8,6,7
,41,"HAI","Haiti",-7,3,10,1,1991,10,15,1994,0,7,1,0,0,1,4,1,4,1,1
,41,"HAI","Haiti",7,1,10,16,1994,12,31,1995,7,0,3,3,4,6,2,3,8,6,7
,41,"HAI","Haiti",7,3,1,1,1996,1,10,1999,7,0,2,2,4,7,2,3,7,7,7
,41,"HAI","Haiti",-88,2,1,11,1999,11,25,2000,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,41,"HAI","Haiti",-2,3,11,26,2000,3,8,2004,1,3,2,1,4,3,2,3,3,3,7
,41,"HAI","Haiti",-88,2,3,9,2004,5,13,2006,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,41,"HAI","Haiti",5,4,5,14,2006,1,12,2010,6,1,2,2,4,5,2,0,7,6,6
1,41,"HAI","Haiti",-77,1,1,13,2010,99,99,9999,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,91,"HON","Honduras",-3,9,1,10,1839,2,4,1848,1,4,2,1,4,3,3,3,3,3,6
,91,"HON","Honduras",0,5,2,5,1848,10,31,1852,3,3,2,1,4,5,3,3,3,5,6
,91,"HON","Honduras",-66,1,11,1,1852,4,28,1854,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,91,"HON","Honduras",0,10,4,29,1854,2,15,1864,3,3,2,1,4,5,3,3,3,5,6
,91,"HON","Honduras",-3,31,2,16,1864,10,14,1894,1,4,2,1,4,3,3,3,3,3,6
,91,"HON","Honduras",5,9,10,15,1894,2,8,1904,6,1,3,3,4,5,3,3,8,5,6
,91,"HON","Honduras",0,3,2,9,1904,3,25,1907,4,4,3,3,4,1,3,3,8,1,6
,91,"HON","Honduras",-66,1,3,26,1907,9,1,1908,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,91,"HON","Honduras",5,3,9,2,1908,1,9,1912,6,1,3,3,4,5,3,3,8,5,6
,91,"HON","Honduras",-66,1,1,10,1912,3,21,1913,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,91,"HON","Honduras",5,6,3,22,1913,9,9,1919,6,1,3,3,4,5,3,3,8,5,6
,91,"HON","Honduras",-66,1,9,10,1919,6,30,1920,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,91,"HON","Honduras",5,4,7,1,1920,6,8,1924,6,1,3,3,4,5,3,3,8,5,6
,91,"HON","Honduras",-66,1,6,9,1924,7,7,1925,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,91,"HON","Honduras",5,11,7,8,1925,4,15,1936,6,1,3,3,4,5,3,3,8,5,6
,91,"HON","Honduras",-3,21,4,16,1936,10,21,1956,1,4,2,1,4,3,3,3,3,3,6
,91,"HON","Honduras",-1,14,10,22,1956,3,28,1971,1,2,1,0,0,3,3,3,4,3,6
,91,"HON","Honduras",0,2,3,29,1971,12,4,1972,1,1,2,0,0,3,2,3,5,3,7
,91,"HON","Honduras",-1,8,12,5,1972,7,25,1980,1,2,1,0,0,3,3,3,4,3,6
,91,"HON","Honduras",-88,1,7,26,1980,1,27,1982,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,91,"HON","Honduras",6,4,1,28,1982,11,24,1985,6,0,2,2,4,6,2,3,7,6,7
,91,"HON","Honduras",5,4,11,25,1985,11,26,1989,5,0,2,2,4,5,2,3,7,5,7
,91,"HON","Honduras",6,9,11,27,1989,1,26,1999,6,0,2,2,4,5,2,4,7,5,9
1,91,"HON","Honduras",7,12,1,27,1999,99,99,9999,7,0,3,3,4,5,2,4,8,5,9
,310,"HUN","Hungary",-4,53,5,29,1867,11,16,1918,1,5,3,1,2,3,3,3,2,3,6
,310,"HUN","Hungary",-88,0,11,17,1918,3,21,1919,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,310,"HUN","Hungary",-7,1,3,22,1919,2,29,1920,0,7,1,0,0,1,4,1,4,1,1
,310,"HUN","Hungary",-1,25,3,1,1920,10,15,1944,1,2,1,0,0,3,3,3,4,3,6
,310,"HUN","Hungary",-66,0,10,16,1944,4,4,1945,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,310,"HUN","Hungary",-88,4,4,5,1945,12,15,1948,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,310,"HUN","Hungary",-7,8,12,16,1948,10,22,1956,0,7,2,1,4,3,4,1,3,3,1
,310,"HUN","Hungary",-77,0,10,23,1956,11,3,1956,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,310,"HUN","Hungary",-66,1,11,4,1956,5,27,1957,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,310,"HUN","Hungary",-7,31,5,28,1957,5,22,1988,0,7,2,1,4,3,4,1,3,3,1
,310,"HUN","Hungary",-2,1,5,23,1988,10,23,1989,2,4,2,2,4,3,4,2,7,3,2
,310,"HUN","Hungary",-88,0,10,24,1989,2,2,1990,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,310,"HUN","Hungary",10,21,2,3,1990,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,750,"IND","India",9,25,1,26,1950,6,26,1975,9,0,3,3,4,7,2,4,8,7,9
,750,"IND","India",7,2,6,27,1975,6,30,1977,7,0,3,3,4,6,2,3,8,6,7
,750,"IND","India",8,18,7,1,1977,5,14,1995,8,0,3,3,4,7,2,3,8,7,7
1,750,"IND","India",9,16,5,15,1995,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,850,"INS","Indonesia",-5,1,8,17,1945,6,30,1946,0,5,2,1,4,1,1,0,3,1,4
,850,"INS","Indonesia",2,2,7,1,1946,6,30,1948,4,2,2,1,4,7,1,0,3,7,4
,850,"INS","Indonesia",3,2,7,1,1948,8,15,1950,5,2,2,1,4,7,2,3,3,7,7
,850,"INS","Indonesia",0,6,8,16,1950,3,14,1957,3,3,2,1,4,5,3,3,3,5,6
,850,"INS","Indonesia",-1,2,3,15,1957,7,5,1959,2,3,2,1,4,4,3,3,3,4,6
,850,"INS","Indonesia",-5,7,7,6,1959,3,12,1966,0,5,2,1,4,3,3,2,3,3,3
,850,"INS","Indonesia",-6,1,3,13,1966,3,12,1967,0,6,2,1,4,3,4,2,3,3,2
,850,"INS","Indonesia",-7,31,3,13,1967,5,21,1998,0,7,2,1,4,2,4,2,3,2,2
,850,"INS","Indonesia",-5,1,5,22,1998,10,20,1999,0,5,2,1,4,3,3,2,3,3,3
,850,"INS","Indonesia",6,5,10,21,1999,10,19,2004,7,1,2,2,4,6,3,4,7,6,8
1,850,"INS","Indonesia",8,6,10,20,2004,99,99,9999,9,1,3,3,4,7,3,4,8,7,8
,205,"IRE","Ireland",8,6,12,6,1921,8,11,1927,8,0,3,3,4,7,2,3,8,7,7
,205,"IRE","Ireland",10,5,8,12,1927,1,2,1933,10,0,3,3,4,7,5,5,8,7,10
,205,"IRE","Ireland",8,20,1,3,1933,11,28,1952,8,0,3,3,4,7,2,3,8,7,7
1,205,"IRE","Ireland",10,58,11,29,1952,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,630,"IRN","Iran",-10,,1,1,1800,10,7,1906,0,10,3,1,1,1,4,1,1,1,1
,630,"IRN","Iran",-77,14,10,8,1906,2,21,1921,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,630,"IRN","Iran",-88,5,2,22,1921,12,13,1925,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,630,"IRN","Iran",-7,9,12,14,1925,3,21,1935,0,7,3,1,1,3,4,2,1,3,2
,630,"IRN","Iran",-8,6,3,22,1935,8,25,1941,0,8,3,1,1,3,4,1,1,3,1
,630,"IRN","Iran",-1,3,8,26,1941,9,11,1944,2,3,3,1,2,5,1,0,2,5,4
,630,"IRN","Iran",-1,2,9,12,1944,1,11,1947,2,3,3,1,2,5,2,0,2,5,5
,630,"IRN","Iran",-1,7,1,12,1947,8,19,1953,3,4,3,1,2,5,3,3,2,5,6
,630,"IRN","Iran",-88,1,8,20,1953,3,5,1955,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,630,"IRN","Iran",-10,24,3,6,1955,1,17,1979,0,10,3,1,1,1,4,1,1,1,1
,630,"IRN","Iran",-77,0,1,18,1979,3,15,1979,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,630,"IRN","Iran",-88,3,3,16,1979,12,31,1981,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,630,"IRN","Iran",-6,16,1,1,1982,8,3,1997,0,6,2,1,4,3,4,2,3,3,2
,630,"IRN","Iran",3,6,8,4,1997,1,24,2004,4,1,3,2,3,4,3,3,6,4,6
,630,"IRN","Iran",-88,0,1,25,2004,5,26,2004,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,630,"IRN","Iran",-6,5,5,27,2004,6,11,2009,0,6,2,1,4,2,3,2,3,2,3
1,630,"IRN","Iran",-7,2,6,12,2009,99,99,9999,0,7,2,1,4,2,4,2,3,2,2
,645,"IRQ","Iraq",-4,12,7,10,1924,10,29,1936,1,5,3,1,2,3,3,3,2,3,6
,645,"IRQ","Iraq",-3,4,10,30,1936,5,2,1941,1,4,1,0,0,1,3,3,4,1,6
,645,"IRQ","Iraq",-4,17,5,3,1941,7,14,1958,1,5,3,1,2,3,3,3,2,3,6
,645,"IRQ","Iraq",-5,10,7,15,1958,7,17,1968,0,5,1,0,0,1,3,2,4,1,3
,645,"IRQ","Iraq",-7,11,7,18,1968,7,16,1979,0,7,2,0,0,1,4,1,5,1,1
,645,"IRQ","Iraq",-9,24,7,17,1979,4,9,2003,0,9,2,1,4,1,4,1,3,1,1
,645,"IRQ","Iraq",-77,0,4,10,2003,5,21,2003,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,645,"IRQ","Iraq",-66,7,5,22,2003,8,19,2010,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,645,"IRQ","Iraq",-88,0,8,20,2010,12,20,2010,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,645,"IRQ","Iraq",3,0,12,21,2010,99,99,9999,4,1,2,2,4,4,3,3,7,4,6
,666,"ISR","Israel",10,19,5,14,1948,6,4,1967,10,0,3,3,4,7,5,5,8,7,10
,666,"ISR","Israel",9,32,6,5,1967,9,7,1999,9,0,3,3,4,7,2,4,8,7,9
1,666,"ISR","Israel",10,11,9,8,1999,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,325,"ITA","Italy",-4,39,3,17,1861,7,29,1900,1,5,3,1,2,3,3,3,2,3,6
,325,"ITA","Italy",-1,22,7,30,1900,10,31,1922,3,4,3,1,2,5,3,3,2,5,6
,325,"ITA","Italy",-88,5,11,1,1922,5,12,1928,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,325,"ITA","Italy",-9,15,5,13,1928,9,15,1943,0,9,2,1,4,1,4,1,3,1,1
,325,"ITA","Italy",-77,2,9,16,1943,4,28,1945,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,325,"ITA","Italy",-88,3,4,29,1945,12,31,1947,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,325,"ITA","Italy",10,63,1,1,1948,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,437,"IVO","Ivory Coast",-9,30,8,7,1960,11,7,1990,0,9,2,1,4,1,4,1,3,1,1
,437,"IVO","Ivory Coast",-7,4,11,8,1990,12,8,1994,0,7,2,1,4,2,4,2,3,2,2
,437,"IVO","Ivory Coast",-6,5,12,9,1994,12,24,1999,0,6,2,1,4,3,4,2,3,3,2
,437,"IVO","Ivory Coast",-88,1,12,25,1999,10,25,2000,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,437,"IVO","Ivory Coast",4,2,10,26,2000,9,19,2002,5,1,2,2,4,5,3,3,7,5,6
,437,"IVO","Ivory Coast",-77,5,9,20,2002,4,6,2007,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,437,"IVO","Ivory Coast",-88,4,4,7,2007,12,3,2010,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,437,"IVO","Ivory Coast",-77,0,12,4,2010,99,99,9999,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,51,"JAM","Jamaica",10,34,7,4,1959,4,14,1993,10,0,3,3,4,7,5,5,8,7,10
1,51,"JAM","Jamaica",9,18,4,15,1993,99,99,9999,9,0,3,3,4,7,2,4,8,7,9
,663,"JOR","Jordan",-10,5,5,25,1946,6,30,1951,0,10,3,1,1,1,4,1,1,1,1
,663,"JOR","Jordan",-4,0,7,1,1951,1,8,1952,1,5,3,1,2,3,3,3,2,3,6
,663,"JOR","Jordan",-1,5,1,9,1952,3,13,1957,3,4,3,1,2,5,3,3,2,5,6
,663,"JOR","Jordan",-9,18,3,14,1957,11,9,1974,0,9,3,1,2,2,4,1,2,2,1
,663,"JOR","Jordan",-10,9,11,10,1974,1,10,1984,0,10,3,1,2,1,4,1,2,1,1
,663,"JOR","Jordan",-9,6,1,11,1984,11,8,1989,0,9,3,1,2,2,4,1,2,2,1
,663,"JOR","Jordan",-4,3,11,9,1989,7,5,1992,1,5,3,1,2,3,3,3,2,3,6
,663,"JOR","Jordan",-2,15,7,6,1992,7,30,2007,2,4,3,1,2,3,2,4,2,3,9
1,663,"JOR","Jordan",-3,3,7,31,2007,99,99,9999,2,5,3,1,2,3,3,4,2,3,8
,740,"JPN","Japan",-10,,1,1,1800,7,29,1858,0,10,3,1,1,1,4,1,1,1,1
,740,"JPN","Japan",-88,9,7,30,1858,1,3,1868,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,740,"JPN","Japan",1,78,1,4,1868,9,3,1945,5,4,3,1,2,7,3,3,2,7,6
,740,"JPN","Japan",-66,7,9,4,1945,4,28,1952,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
1,740,"JPN","Japan",10,59,4,29,1952,99,99,9999,10,0,3,3,4,7,5,5,8,7,10
,501,"KEN","Kenya",2,2,12,12,1963,6,2,1966,5,3,3,3,4,5,4,2,8,5,2
,501,"KEN","Kenya",0,3,6,3,1966,10,29,1969,3,3,2,2,4,4,4,2,7,4,2
,501,"KEN","Kenya",-7,10,10,30,1969,11,8,1979,0,7,2,1,4,3,4,1,3,3,1
,501,"KEN","Kenya",-6,3,11,9,1979,6,9,1982,0,6,2,1,4,3,4,2,3,3,2
,501,"KEN","Kenya",-7,10,6,10,1982,12,3,1991,0,7,2,1,4,3,4,1,3,3,1
,501,"KEN","Kenya",-5,6,12,4,1991,9,15,1997,0,5,2,1,4,3,3,2,3,3,3
,501,"KEN","Kenya",-2,5,9,16,1997,12,29,2002,2,4,2,1,4,3,3,4,3,3,8
,501,"KEN","Kenya",8,5,12,30,2002,10,22,2007,8,0,3,3,4,6,2,4,8,6,9
,501,"KEN","Kenya",7,0,10,23,2007,4,17,2008,7,0,3,3,4,6,2,3,8,6,7
,501,"KEN","Kenya",7,3,4,18,2008,8,3,2010,7,0,2,2,4,7,2,3,7,7,7
1,501,"KEN","Kenya",8,0,8,4,2010,99,99,9999,8,0,2,2,4,7,2,4,7,7,9
1,341,"KOS","Kosovo",8,3,2,17,2008,99,99,9999,8,0,2,2,4,7,2,4,7,7,9
,730,"KOR","Korea",1,,1,1,1800,8,22,1910,5,4,3,1,1,7,3,3,1,7,6
,690,"KUW","Kuwait",-8,2,1,29,1963,1,15,1965,0,8,3,1,2,3,4,1,2,3,1
,690,"KUW","Kuwait",-9,6,1,16,1965,1,23,1971,0,9,3,1,2,2,4,1,2,2,1
,690,"KUW","Kuwait",-8,6,1,24,1971,8,29,1976,0,8,3,1,2,3,4,1,2,3,1
,690,"KUW","Kuwait",-10,4,8,30,1976,2,23,1981,0,10,3,1,2,1,4,1,2,1,1
,690,"KUW","Kuwait",-8,5,2,24,1981,7,3,1986,0,8,3,1,2,3,4,1,2,3,1
,690,"KUW","Kuwait",-10,4,7,4,1986,6,10,1990,0,10,3,1,2,1,4,1,2,1,1
,690,"KUW","Kuwait",-66,1,6,11,1990,4,20,1991,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
,690,"KUW","Kuwait",-9,1,4,21,1991,10,5,1992,0,9,3,1,2,1,4,2,2,1,2
1,690,"KUW","Kuwait",-7,18,10,6,1992,99,99,9999,0,7,3,1,2,3,4,2,2,3,2
,703,"KYR","Kyrgyzstan",-3,14,8,31,1991,8,13,2005,1,4,2,1,4,4,3,2,3,4,3
,703,"KYR","Kyrgyzstan",3,1,8,14,2005,3,10,2006,3,0,2,2,4,4,1,0,7,4,4
,703,"KYR","Kyrgyzstan",4,2,3,11,2006,12,15,2007,4,0,2,2,4,5,2,0,7,5,5
,703,"KYR","Kyrgyzstan",3,2,12,16,2007,7,22,2009,3,0,2,2,4,4,2,0,7,4,5
,703,"KYR","Kyrgyzstan",1,1,7,23,2009,4,15,2010,2,1,2,2,4,3,2,0,7,3,5
,703,"KYR","Kyrgyzstan",-88,1,4,16,2010,12,16,2010,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,703,"KYR","Kyrgyzstan",7,0,12,17,2010,99,99,9999,7,0,2,2,4,7,2,3,7,7,7
,705,"KZK","Kazakhstan",-3,4,12,16,1991,8,15,1995,1,4,2,1,4,3,3,3,3,3,6
,705,"KZK","Kazakhstan",-4,7,8,16,1995,6,25,2002,1,5,2,1,4,2,3,3,3,2,6
1,705,"KZK","Kazakhstan",-6,9,6,26,2002,99,99,9999,0,6,2,1,4,2,3,2,3,2,3
,812,"LAO","Laos",-88,3,10,22,1954,5,4,1958,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,812,"LAO","Laos",8,2,5,5,1958,1,1,1960,8,0,3,3,4,5,5,5,8,5,10
,812,"LAO","Laos",-1,1,1,2,1960,5,3,1961,1,2,1,0,0,3,3,3,4,3,6
,812,"LAO","Laos",-77,12,5,4,1961,9,14,1973,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,812,"LAO","Laos",-88,2,9,15,1973,12,2,1975,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,812,"LAO","Laos",-7,35,12,3,1975,99,99,9999,0,7,2,1,4,3,4,1,3,3,1
,367,"LAT","Latvia",7,1,2,1,1920,12,31,1920,7,0,3,3,4,7,1,0,8,7,4
,367,"LAT","Latvia",7,7,1,1,1921,1,14,1928,7,0,3,3,4,7,2,0,8,7,5
,367,"LAT","Latvia",7,6,1,15,1928,5,17,1934,8,1,3,3,4,7,3,3,8,7,6
,367,"LAT","Latvia",-9,6,5,18,1934,6,17,1940,0,9,2,1,4,1,4,1,3,1,1
1,367,"LAT","Latvia",8,19,9,6,1991,99,99,9999,8,0,2,2,4,7,2,4,7,7,9
,450,"LBR","Liberia",4,37,7,26,1847,6,30,1884,7,3,3,3,4,7,4,2,8,7,2
,450,"LBR","Liberia",-3,6,7,1,1884,6,30,1890,2,5,2,1,4,5,4,2,3,5,2
,450,"LBR","Liberia",-4,19,7,1,1890,6,30,1909,1,5,2,1,4,4,4,2,3,4,2
,450,"LBR","Liberia",-6,71,7,1,1909,4,12,1980,0,6,2,1,4,3,4,2,3,3,2
,450,"LBR","Liberia",-7,4,4,13,1980,7,3,1984,0,7,1,0,0,1,4,1,4,1,1
,450,"LBR","Liberia",-6,1,7,4,1984,12,31,1985,0,6,1,0,0,1,4,2,4,1,2
,450,"LBR","Liberia",-6,5,1,1,1986,9,16,1990,0,6,2,0,0,1,4,2,5,1,2
,450,"LBR","Liberia",-77,6,9,17,1990,8,17,1996,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,450,"LBR","Liberia",-88,1,8,18,1996,8,1,1997,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
,450,"LBR","Liberia",0,6,8,2,1997,8,11,2003,3,3,2,2,4,2,3,3,7,2,6
,450,"LBR","Liberia",-88,2,8,12,2003,1,15,2006,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88,-88
1,450,"LBR","Liberia",6,5,1,16,2006,99,99,9999,7,1,2,2,4,6,3,4,7,6,8
,660,"LEB","Lebanon",2,27,11,22,1943,8,17,1970,4,2,3,3,4,3,3,3,8,3,6
,660,"LEB","Lebanon",5,5,8,18,1970,5,25,1975,5,0,3,3,4,4,2,3,8,4,7
,660,"LEB","Lebanon",-77,15,5,26,1975,9,21,1990,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
,660,"LEB","Lebanon",-66,15,9,22,1990,4,27,2005,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
1,660,"LEB","Lebanon",7,6,4,28,2005,99,99,9999,8,1,3,3,4,7,3,3,8,7,6
,570,"LES","Lesotho",9,3,10,4,1966,1,30,1970,9,0,3,3,4,7,2,4,8,7,9
